                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.38504,                0.23871,                0.80427,                 0.9979,                0.97651,                0.98729,                0.94188,                0.39365,                0.21776,                0.80309,              0.0008219,              0.0008219,              0.0008219
                    121,                0.35754,                0.23026,                0.80195,                0.99867,                0.98542,                0.99243,                0.93444,                0.42225,                0.22647,                0.80285,               0.000812,               0.000812,               0.000812
                    122,                0.39793,                 0.2431,                0.80571,                0.99822,                0.97746,                0.98779,                0.95815,                0.35937,                0.20839,                0.79722,              0.0008021,              0.0008021,              0.0008021
                    123,                0.42168,                0.24715,                0.81161,                0.99792,                 0.9892,                0.99492,                 0.9128,                0.47336,                 0.2492,                0.81668,              0.0007922,              0.0007922,              0.0007922
                    124,                0.45165,                0.25494,                0.82393,                0.99709,                0.97679,                0.98832,                0.91385,                0.48716,                0.23916,                0.81487,              0.0007823,              0.0007823,              0.0007823
                    125,                0.42679,                0.25101,                0.81563,                0.99785,                0.98463,                0.99182,                0.91532,                0.46473,                0.23401,                0.81842,              0.0007724,              0.0007724,              0.0007724
                    126,                0.43031,                0.25205,                0.81196,                0.99786,                0.98178,                0.99105,                0.95683,                0.34449,                0.20052,                0.79594,              0.0007625,              0.0007625,              0.0007625
                    127,                0.39255,                0.23913,                0.80775,                0.99828,                0.98209,                0.99068,                0.95205,                0.39229,                0.21605,                0.80057,              0.0007526,              0.0007526,              0.0007526
                    128,                0.37018,                0.23292,                0.80316,                0.99855,                0.98255,                0.99074,                0.95611,                0.37668,                0.20629,                0.79969,              0.0007427,              0.0007427,              0.0007427
                    129,                0.37414,                0.23181,                0.80695,                0.99825,                0.98035,                0.98949,                0.96138,                0.34436,                0.20725,                0.79444,              0.0007328,              0.0007328,              0.0007328
                    130,                0.37836,                 0.2323,                0.80604,                0.99839,                0.98344,                0.99073,                0.96668,                0.34215,                0.20124,                0.79387,              0.0007229,              0.0007229,              0.0007229
